id,first_name,last_name,email,year,specialty,group,created_at
550e8400-e29b-41d4-a716-446655440000,Emma,Johnson,emma.johnson@example.com,1,IIR,G1,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440001,Liam,Smith,liam.smith@example.com,1,IIR,G1,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440002,Olivia,Williams,olivia.williams@example.com,1,IIR,G1,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440003,Noah,Brown,noah.brown@example.com,1,IIR,G1,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440004,Ava,Jones,ava.jones@example.com,1,IIR,G1,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440005,William,Garcia,william.garcia@example.com,1,IIR,G1,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440006,Sophia,Miller,sophia.miller@example.com,1,IIR,G1,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440007,James,Davis,james.davis@example.com,1,IIR,G2,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440008,Isabella,Rodriguez,isabella.rodriguez@example.com,1,IIR,G2,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440009,Oliver,Martinez,oliver.martinez@example.com,1,IIR,G2,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440010,Charlotte,Hernandez,charlotte.hernandez@example.com,1,IIR,G2,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440011,Benjamin,Lopez,benjamin.lopez@example.com,1,IIR,G2,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440012,Amelia,Gonzalez,amelia.gonzalez@example.com,1,IIR,G2,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440013,Elijah,Wilson,elijah.wilson@example.com,1,IIR,G3,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440014,Mia,Anderson,mia.anderson@example.com,1,IIR,G3,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440015,Lucas,Thomas,lucas.thomas@example.com,1,IIR,G3,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440016,Harper,Taylor,harper.taylor@example.com,1,IIR,G3,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440017,Alexander,Moore,alexander.moore@example.com,1,IIR,G3,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440018,Evelyn,Jackson,evelyn.jackson@example.com,1,IIR,G3,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440019,Daniel,Martin,daniel.martin@example.com,1,IIR,G3,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440020,Emily,Lee,emily.lee@example.com,1,IIR,G4,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440021,Michael,Perez,michael.perez@example.com,1,IIR,G4,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440022,Abigail,Thompson,abigail.thompson@example.com,1,IIR,G4,2023-01-01 08:00:00
550e8400-e29b-41d4-a716-446655440023,Matthew,White,matthew.white@example.com,1,IIR,G4,2023-01-01 08:00:00
